SKU,Name,Weight,Length,Width,Height,Volume_cm3,URL
403233,"LERHYTTANCorner leg for decorative plinth, light grey,11 cm 2 pack",0.49,24.0,8.0,7.0,1344.0,https://www.ikea.com/nl/en/p/00403233/
464368,"PÄRLBANDTealight holder, black,10 cm",0.19,10.0,9.0,9.0,810.0,https://www.ikea.com/nl/en/p/00464368/
299825,"KRAGSTANest of tables, set of 2, black",7.85,78.0,52.0,4.0,16224.0,https://www.ikea.com/nl/en/p/00299825/
320803,"SKÅDISPegboard, white,56x56 cm",1.74,61.0,57.0,2.0,6954.0,https://www.ikea.com/nl/en/p/00320803/
464429,"LYCKADOven/serving dish set of 2, dark grey",2.74,31.0,21.0,6.0,3906.0,https://www.ikea.com/nl/en/p/00464429/
484229,"IKEA 365+Saucepan, stainless steel,1.0 l",0.47,32.0,16.0,8.0,4096.0,https://www.ikea.com/nl/en/p/00484229/
291674,"LAPPVIKENDoor/drawer front, white,60x38 cm",3.03,66.0,39.0,2.0,5148.0,https://www.ikea.com/nl/en/p/00291674/
455161,"ÄLMARENKitchen mixer tap, stainless steel colour",1.89,50.0,29.0,6.0,8700.0,https://www.ikea.com/nl/en/p/00455161/
290778,"FLISATWall storage, light white stained pine,70x9x16 cm",1.5,73.0,13.0,6.0,5694.0,https://www.ikea.com/nl/en/p/00290778/
454883,"MUSKOTBLOMMAPlant pot with saucer, in/outdoor terracotta,12 cm",1.12,12.0,16.0,16.0,3072.0,https://www.ikea.com/nl/en/p/00454883/
473023,"SVALKAWine glass, clear glass,44 cl",1.29,27.0,21.0,18.0,10206.0,https://www.ikea.com/nl/en/p/00473023/
287808,"HEJNEShelf, softwood,77x28 cm",2.8,80.0,28.0,5.0,11200.0,https://www.ikea.com/nl/en/p/00287808/
299694,"BJORLILeg, stainless steel,20 cm",0.91,24.0,16.0,4.0,1536.0,https://www.ikea.com/nl/en/p/00299694/
401781,"KUNGSFORSShelf, bamboo,60 cm",3.18,63.0,32.0,3.0,6048.0,https://www.ikea.com/nl/en/p/00401781/
361087,"SELSVIKENDoor/drawer front, high-gloss light grey,60x38 cm",2.55,68.0,41.0,2.0,5576.0,https://www.ikea.com/nl/en/p/00361087/
395351,NYTTIG FIL 650Charcoal filter,0.28,27.0,24.0,2.0,1296.0,https://www.ikea.com/nl/en/p/00395351/
441904,"CHIAFRÖNPlant pot, white,9 cm",0.5,10.0,11.0,11.0,1210.0,https://www.ikea.com/nl/en/p/00441904/
407556,"RÅGKORNPlant pot, in/outdoor dark grey/beige,24 cm",0.95,32.0,29.0,29.0,26912.0,https://www.ikea.com/nl/en/p/00407556/
245880,"SKUBBStorage with 6 compartments, white,35x45x125 cm",1.37,46.0,36.0,5.0,8280.0,https://www.ikea.com/nl/en/p/00245880/
250249,"VITTSJÖLaptop stand, black-brown/glass,35x65 cm",4.99,58.0,37.0,10.0,21460.0,https://www.ikea.com/nl/en/p/00250249/
319357,"MAXIMERADrawer, low, white,40x37 cm",3.31,36.0,32.0,8.0,9216.0,https://www.ikea.com/nl/en/p/00319357/
422321,"IKEA 365+Mandoline, black",0.28,29.0,12.0,5.0,1740.0,https://www.ikea.com/nl/en/p/00422321/
473400,"BENGTSBOLPendant lamp with 5 lamps, black",0.96,29.0,19.0,10.0,5510.0,https://www.ikea.com/nl/en/p/00473400/
130129,"SAMLABox, transparent,78x56x18 cm/55 l",1.58,78.0,56.0,18.0,78624.0,https://www.ikea.com/nl/en/p/00130129/
103343,"MALMChest of 2 drawers, black-brown,40x55 cm",17.3,55.0,47.0,13.0,33605.0,https://www.ikea.com/nl/en/p/00103343/
417452,"DRÖMBILDMug, clear glass,25 cl",0.25,11.0,9.0,8.0,792.0,https://www.ikea.com/nl/en/p/00417452/
340047,"EKETSuspension rail,35 cm",0.32,33.0,9.0,3.0,891.0,https://www.ikea.com/nl/en/p/00340047/
469304,"STORSINTMartini glass, clear glass,24 cl",0.19,18.0,12.0,12.0,2592.0,https://www.ikea.com/nl/en/p/00469304/
